Date,NewPositive,Tested,Nt,Ct,nt,ct,Dnt,Dct,Weekday,Month,Year,Day
2020-11-06,        971,     69.486,69486,971,11.148880572412432,6.878326468291325,-0.028362344050831823,-0.07057075402198709,Friday,November,2020,5
2020-11-07,        848,     59.039,59039,848,10.985953521461534,6.742880635791903,-0.16292705095089843,-0.1354458324994221,Saturday,November,2020,6
2020-11-08,        758,     58.175,58175,758,10.971210988170492,6.630683385642372,-0.014742533291041582,-0.11219725014953141,Sunday,November,2020,7
2020-11-09,      1.063,     81.330,81330,1063,11.306270231160822,6.968850378341948,0.3350592429903294,0.33816699269957606,Monday,November,2020,1
2020-11-10,      1.080,     80.782,80782,1080,11.299509447414529,6.984716320118266,-0.006760783746292631,0.01586594177631806,Tuesday,November,2020,2
2020-11-11,      1.106,     76.243,76243,1106,11.241680886976791,7.00850518208228,-0.057828560437737764,0.02378886196401453,Wednesday,November,2020,3
2020-11-12,      1.067,     74.229,74229,1067,11.214910188378656,6.9726062513017535,-0.026770698598134857,-0.03589893078052686,Thursday,November,2020,4
2020-11-13,      1.158,     72.041,72041,1158,11.184990680370673,7.05444965813294,-0.02991950800798371,0.08184340683118663,Friday,November,2020,5
2020-11-14,      1.056,     56.125,56125,1056,10.935336625044556,6.962243464266207,-0.24965405532611662,-0.09220619386673334,Saturday,November,2020,6
2020-11-15,      1.006,     55.306,55306,1006,10.920636680720666,6.913737350659685,-0.014699944323890435,-0.04850611360652213,Sunday,November,2020,7
2020-11-16,      1.263,     79.314,79314,1263,11.281169936807455,7.141245122350491,0.3605332560867893,0.2275077716908065,Monday,November,2020,1
2020-11-17,      1.338,     82.542,82542,1338,11.32106253368905,7.198931240688173,0.039892596881594855,0.057686118337682224,Tuesday,November,2020,2
2020-11-18,      1.350,     79.931,79931,1350,11.288919041488882,7.2078598714324755,-0.03214349220016821,0.008928630744302168,Wednesday,November,2020,3
2020-11-19,      1.236,     75.401,75401,1236,11.230575816507569,7.119635638017636,-0.0583432249813125,-0.08822423341483976,Thursday,November,2020,4
2020-11-20,      1.257,     72.595,72595,1257,11.192651327917789,7.136483208590247,-0.03792448858978048,0.01684757057261166,Friday,November,2020,5
2020-11-21,      1.009,     57.736,57736,1009,10.963636174752109,6.9167150203536085,-0.22901515316567966,-0.2197681882366389,Saturday,November,2020,6
2020-11-22,      1.014,     60.988,60988,1014,11.018432402491797,6.921658184151129,0.054796227739688064,0.004943163797520356,Sunday,November,2020,7
2020-11-23,      1.196,     77.416,77416,1196,11.256948756560778,7.086737934510577,0.23851635406898097,0.16507975035944789,Monday,November,2020,1
2020-11-24,      1.339,     83.748,83748,1339,11.335567568805152,7.199678345691172,0.07861881224437361,0.11294041118059539,Tuesday,November,2020,2
2020-11-25,      1.320,     80.273,80273,1320,11.29318860429045,7.1853870155804165,-0.04237896451470213,-0.014291330110755673,Wednesday,November,2020,3
2020-11-26,      1.275,     80.401,80401,1275,11.294781892900653,7.150701457592526,0.0015932886102039134,-0.03468555798789019,Thursday,November,2020,4
2020-11-27,      1.321,     72.172,72172,1321,11.18680743802819,7.186144304522325,-0.10797445487246371,0.03544284692979893,Friday,November,2020,5
