"Uge";"Aldersgruppe";"Vaccinationsstatus";"Bekræftede tilfælde";"sort_Var";"Befolkningstørrelse";"Bekræftede tilfælde pr. 100.000"
2021-U05;5-11;2. stik;0;2;0;0,00
2021-U05;5-11;3. stik;0;3;0;0,00
2021-U05;12-15;Uvaccinerede;135;0;299019;45,15
2021-U05;12-15;1. stik;0;1;4;0,00
2021-U05;12-15;2. stik;0;2;2;0,00
2021-U05;12-15;3. stik;0;3;0;0,00
2021-U05;16-19;Uvaccinerede;148;0;278795;53,09
2021-U05;16-19;1. stik;0;1;773;0,00
2021-U05;16-19;2. stik;0;2;37;0,00
2021-U05;16-19;3. stik;0;3;0;0,00
2021-U05;20-39;Uvaccinerede;985;0;1463404;67,31
2021-U05;20-39;1. stik;19;1;30176;62,96
2021-U05;20-39;2. stik;0;2;1993;0,00
2021-U05;20-39;3. stik;0;3;0;0,00
2021-U05;40-64;Uvaccinerede;1025;0;1832358;55,94
2021-U05;40-64;1. stik;41;1;69744;58,79
2021-U05;40-64;2. stik;0;2;5122;0,00
2021-U05;40-64;3. stik;0;3;0;0,00
2021-U05;65-79;Uvaccinerede;278;0;857258;32,43
2021-U05;65-79;1. stik;30;1;28365;105,76
2021-U05;65-79;2. stik;2;2;1763;113,44
2021-U05;65-79;3. stik;0;3;0;0,00
2021-U05;80+;Uvaccinerede;86;0;223184;38,53
2021-U05;80+;1. stik;55;1;33936;162,07
2021-U05;80+;2. stik;0;2;2519;0,00
2021-U05;80+;3. stik;0;3;0;0,00
2021-U06;5-11;Uvaccinerede;250;0;436557;57,27
2021-U06;5-11;1. stik;0;1;1;0,00
2021-U06;5-11;2. stik;0;2;0;0,00
2021-U06;5-11;3. stik;0;3;0;0,00
2021-U06;12-15;Uvaccinerede;134;0;299017;44,81
2021-U06;12-15;1. stik;1;1;6;16666,67
2021-U06;12-15;2. stik;0;2;2;0,00
2021-U06;12-15;3. stik;0;3;0;0,00
2021-U06;16-19;Uvaccinerede;146;0;278692;52,39
2021-U06;16-19;1. stik;0;1;727;0,00
