"Uge";"Aldersgruppe";"Vaccinationsstatus";"Antal nyindlagte";"sort_Var";"Befolkningstørrelse";"Nyindlagte pr. 100.000"
2021-U15;40-64;1. stik;1;1;142853;0,70
2021-U15;40-64;2. stik;1;2;110618;0,90
2021-U15;65-79;Uvaccinerede;45;0;530277;8,49
2021-U15;65-79;1. stik;11;1;268823;4,09
2021-U15;65-79;2. stik;2;2;88270;2,27
2021-U15;80+;Uvaccinerede;5;0;21446;23,31
2021-U15;80+;1. stik;5;1;109516;4,57
2021-U15;80+;2. stik;5;2;128669;3,89
2021-U16;16-19;Uvaccinerede;4;0;275021;1,45
2021-U16;16-19;1. stik;0;1;2803;0,00
2021-U16;16-19;2. stik;0;2;1780;0,00
2021-U16;20-39;Uvaccinerede;55;0;1378392;3,99
2021-U16;20-39;1. stik;0;1;70261;0,00
2021-U16;20-39;2. stik;0;2;46914;0,00
2021-U16;40-64;Uvaccinerede;91;0;1648470;5,52
2021-U16;40-64;1. stik;2;1;138543;1,44
2021-U16;40-64;2. stik;3;2;120193;2,50
2021-U16;65-79;Uvaccinerede;30;0;395923;7,58
2021-U16;65-79;1. stik;9;1;390054;2,31
2021-U16;65-79;2. stik;4;2;101388;3,95
2021-U16;65-79;3. stik;0;3;21;0,00
2021-U16;80+;Uvaccinerede;1;0;18090;5,53
2021-U16;80+;1. stik;5;1;103406;4,84
2021-U16;80+;2. stik;10;2;138135;7,24
2021-U17;12-15;Uvaccinerede;1;0;298938;0,33
2021-U17;12-15;1. stik;0;1;21;0,00
2021-U17;12-15;2. stik;0;2;66;0,00
2021-U17;16-19;Uvaccinerede;5;0;274838;1,82
2021-U17;16-19;1. stik;0;1;2679;0,00
2021-U17;16-19;2. stik;0;2;2088;0,00
2021-U17;20-39;Uvaccinerede;47;0;1376321;3,41
2021-U17;20-39;1. stik;0;1;67278;0,00
2021-U17;20-39;2. stik;1;2;51966;1,92
2021-U17;40-64;Uvaccinerede;108;0;1638824;6,59
2021-U17;40-64;1. stik;2;1;136372;1,47
2021-U17;40-64;2. stik;2;2;132004;1,52
2021-U17;40-64;3. stik;1;3;24;4166,67
2021-U17;65-79;Uvaccinerede;23;0;255213;9,01
2021-U17;65-79;1. stik;20;1;518151;3,86
2021-U17;65-79;2. stik;5;2;114000;4,39
2021-U17;65-79;3. stik;0;3;22;0,00
2021-U17;80+;Uvaccinerede;3;0;15964;18,79
2021-U17;80+;1. stik;1;1;82077;1,22
2021-U17;80+;2. stik;4;2;161587;2,48
2021-U18;5-11;Uvaccinerede;1;0;436555;0,23
2021-U18;16-19;Uvaccinerede;1;0;274639;0,36
2021-U18;16-19;1. stik;0;1;2680;0,00
2021-U18;16-19;2. stik;0;2;2285;0,00
2021-U18;20-39;Uvaccinerede;46;0;1373869;3,35
2021-U18;20-39;1. stik;1;1;66815;1,50
2021-U18;20-39;2. stik;3;2;54880;5,47
2021-U18;40-64;Uvaccinerede;111;0;1598346;6,94
2021-U18;40-64;1. stik;1;1;167225;0,60
2021-U18;40-64;2. stik;1;2;141625;0,71
2021-U18;40-64;3. stik;0;3;29;0,00
2021-U18;65-79;Uvaccinerede;15;0;162397;9,24
2021-U18;65-79;1. stik;14;1;591126;2,37
2021-U18;65-79;2. stik;5;2;133841;3,74
2021-U18;65-79;3. stik;1;3;23;4347,83
2021-U18;80+;Uvaccinerede;4;0;14498;27,59
2021-U18;80+;1. stik;2;1;49151;4,07
2021-U18;80+;2. stik;3;2;195978;1,53
2021-U19;5-11;Uvaccinerede;2;0;436555;0,46
2021-U19;12-15;Uvaccinerede;1;0;298920;0,33
2021-U19;12-15;1. stik;0;1;36;0,00
2021-U19;12-15;2. stik;0;2;69;0,00
2021-U19;16-19;Uvaccinerede;9;0;274455;3,28
2021-U19;16-19;1. stik;0;1;2676;0,00
2021-U19;16-19;2. stik;0;2;2472;0,00
2021-U19;20-39;Uvaccinerede;54;0;1370994;3,94
2021-U19;20-39;1. stik;0;1;66707;0,00
2021-U19;20-39;2. stik;3;2;57855;5,19
2021-U19;40-64;Uvaccinerede;114;0;1520834;7,50
2021-U19;40-64;1. stik;5;1;236856;2,11
2021-U19;40-64;2. stik;6;2;149490;4,01
2021-U19;40-64;3. stik;3;3;45;6666,67
2021-U19;65-79;Uvaccinerede;22;0;98242;22,39
2021-U19;65-79;1. stik;23;1;608085;3,78
2021-U19;65-79;2. stik;8;2;181034;4,42
2021-U19;65-79;3. stik;0;3;25;0,00
