logL_restricted_M1,logL_restricted_M2,logL_unrestricted_M1,logL_unrestricted_M2,uhat_restricted_M1,uhat_restricted_M2,uhat_unrestricted_M1,uhat_unrestricted_M2
1474.8797241532945,1592.7512089192346,1496.152480047423,1597.3049332886083,0.04345888423193324,0.039468674791844016,0.043917523630044114,0.04676775763520258
1474.5562450835932,1592.152292134625,1495.7973735774804,1596.7977742429741,0.037415421182098285,0.0319704028631822,0.037912105281224136,0.03929165744897212
1474.542811218476,1591.943828452063,1495.61245739798,1596.1575997103937,0.03549015866324545,0.03070476969291125,0.03592926034643267,0.036392133806587346
1475.0821234177915,1592.8220655521764,1495.9335561613807,1596.4348850138779,0.015852869511517653,0.021532700540544347,0.017179897488594904,0.02940331596669621
1475.0276379037205,1597.6853538622672,1495.6578485183918,1600.7733265480397,0.004493138000336572,0.011534042519516952,0.0063046818910525125,0.017087128082558856
1475.283533161387,1595.4786939305116,1495.7869290000162,1597.826180852142,-0.021572784398353306,-0.0030820681527767846,-0.0170024433536158,0.002915505994235623
1477.7271110804345,1601.5252780446476,1498.5504591952135,1603.4252529811388,0.03788970578480644,0.0339152349384948,0.035790992066501943,0.03296437655216122
1476.9126881482025,1601.1783916511204,1498.457020615211,1602.218039091752,0.06095250687294573,-0.02340520963544801,0.003489032204562724,-0.030189137634133445
1477.1900802064422,1606.197726503858,1499.166825991731,1606.5181426734587,0.044687547221977625,0.0010119078792074632,0.0046201506236808534,-0.006799261836283321
1475.5341759674434,1605.54624903658,1498.6300610441835,1605.54624903658,0.0873778006257985,0.03224484531492067,0.044361538230001,0.03224484531492067
1469.2907007328465,1604.529464707613,1495.3063645440805,1604.529464707613,0.18464637184148214,0.12318523901547529,0.1327287697360825,0.12318523901547529
1464.033831793522,1603.8745896471946,1492.3450940856792,1603.8745896471946,0.15492055105895794,0.07006520017203766,0.10075131112035329,0.07006520017203766
1461.7223776694673,1603.3125884412898,1491.5657075932124,1603.3125884412898,0.10945109789079623,0.04616788682609707,0.058615969284030345,0.04616788682609707
1460.9639677354767,1602.8728843548654,1491.0882170110442,1602.8728843548654,0.08064372637423933,0.05188208637807534,0.0639998151034539,0.05188208637807534
1460.8999517687457,1602.8861252623035,1491.0298588030687,1602.8861252623035,0.024986254482976856,0.007450335388324625,0.02466589873634803,0.007450335388324625
1460.9936821641788,1603.0223723133865,1491.1325563511991,1603.0223723133865,0.005202616491008493,0.004156052368103236,0.00692049733238975,0.004156052368103236
1461.0588871664859,1602.512559457329,1490.2102684178128,1602.512559457329,0.00919568966216211,0.0612557898186048,0.07085637542115578,0.0612557898186048
1461.108928970763,1601.0219892113425,1490.2306848395028,1601.0219892113425,-0.0072368102565733144,-0.0006208776082958778,0.009547903220923212,-0.0006208776082958778
1462.2583248275484,1602.4984306982574,1491.41717002919,1602.4984306982574,0.002872496730736423,0.011987533329436584,0.008036797388908775,0.011987533329436584
1462.3202428950485,1603.884010283769,1491.2826014179511,1603.884010283769,0.02904942511629385,0.00434562007479089,0.017475954949969244,0.00434562007479089
1463.329538271522,1601.0562184123899,1492.0721061893487,1601.0562184123899,-0.01709002257570027,-0.02960965301943741,-0.02480710413468966,-0.02960965301943741
1465.9302965467768,1603.384509239382,1495.5134370439662,1603.384509239382,-0.05669431234183446,0.02728751046381639,-0.017704800317628798,0.02728751046381639
1466.9501078103967,1605.9005207968885,1497.3450826414685,1605.9005207968885,-0.010074900369759263,0.020251050477901877,0.015461255905529672,0.020251050477901877
1466.8739234562363,1604.630204666486,1497.2944659027276,1604.630204666486,-0.02409724814253022,-0.03281953747387334,-0.02578190920563065,-0.03281953747387334
1467.855461125047,1605.7978509322766,1497.8585521474467,1605.7978509322766,-0.010148407860516342,-0.007798824756657385,-0.013024936894798892,-0.007798824756657385
1468.1578531704442,1606.1374477154109,1498.0467816040596,1606.1374477154109,-0.00015142115696259104,-0.0045388919460629396,-0.0028211504437971064,-0.0045388919460629396
1467.9727970963252,1605.4193548733633,1497.7994509672162,1605.4193548733633,0.037969855377591906,0.040694454624640386,0.03860630579208921,0.040694454624640386
1467.4074243821606,1606.2885063040105,1497.4458340700344,1606.2885063040105,0.05387825577194871,0.0492517741463705,0.05594542172439999,0.0492517741463705
1467.1130112606238,1603.2865453223042,1496.801346926336,1603.2865453223042,0.06380061053727613,0.06321277074277054,0.06573973706330272,0.06321277074277054
1468.245859840186,1605.8764069513793,1497.6137693983844,1605.8764069513793,0.059498142472314025,0.055475591862141016,0.06043382513348981,0.055475591862141016
1467.7199840395017,1603.813793053203,1497.0981958579528,1603.813793053203,0.053432458892558266,0.0528763694161154,0.054083827583718394,0.0528763694161154
